,negative,positive,neutral,total
flight,212.83790560097296,31.806924956848302,65.69373934012047,310.33856989794174
not,217.84892956633726,13.601969311183408,29.58408614622911,261.03498502374975
thanks,34.112024925223814,132.0950383108652,30.67270219671865,196.87976543280766
get,125.66936114559333,23.114178538761056,32.5039752887989,181.2875149731533
thank,10.056667752247064,129.57241750734167,21.277866460258487,160.9069517198472
but,94.20600715455633,11.026900469502554,18.155006431508838,123.38791405556772
hour,111.62200528096575,2.6303719021513365,3.539196775171507,117.7915739582886
service,83.6518185345465,18.7053589946502,8.031119864943108,110.38829739413981
help,70.91339333438019,14.989359426380892,24.04351673762608,109.94626949838715
customer,87.03675672987832,14.344825861118336,4.132546235734088,105.51412882673074
time,76.51509572524097,15.298263223833809,12.000232860038144,103.81359180911292
cancelled,88.54489017108455,3.738426248380205,11.259677090042498,103.54299350950726
bag,78.532639184273,5.539477105453904,7.645336707361292,91.71745299708819
go,61.50913786983435,8.798593224135535,19.000388929769112,89.308120023739
call,76.29454822791669,4.656619521968864,7.775995020919081,88.72716277080464
plane,68.90638743207047,8.718289619161444,10.684205352118802,88.30888240335071
fly,47.591789497218635,17.32504845911209,20.49516119953489,85.41199915586562
wait,73.3777585480353,6.265738186705546,3.370456113358994,83.01395284809985
need,56.037578125793026,3.5961776781488926,22.42692608881819,82.0606818927601
make,50.14533685479861,20.278943854077937,9.065457342400189,79.48973805127675
hold,74.82973739862358,0.9141592474622512,3.1741351822504957,78.91803182833632
one,56.62779730611043,8.042834200741563,12.685234600999566,77.35586610785155
would,48.24726606828028,9.955717823768449,18.6072600348443,76.81024392689304
please,40.788220802094266,6.960243759118191,26.301978747252104,74.05044330846457
still,59.647352027102855,5.708795084002607,8.216778693585066,73.57292580469053
amp,54.869358840164566,8.0121553874036,10.616498048862962,73.49801227643113
gate,56.519114729595714,8.851980181736291,6.879474598326709,72.25056950965872
customer service,57.976489351822366,11.858899692101291,2.3302785232331487,72.1656675671568
airline,50.7447772773918,14.3011829329174,5.463087106711263,70.50904731702046
delayed,62.36845329985769,2.718563741299128,4.20728154489943,69.29429858605624
day,53.50101869582693,8.168557810514574,6.759860071325236,68.42943657766673
back,45.59838452024064,8.69550306502407,12.976979746152827,67.27086733141753
try,53.469188973886695,3.3148115151055237,9.74304368383767,66.52704417282989
take,44.22920586703071,11.061559196870808,10.858835189696936,66.14960025359845
say,51.538638740465316,3.3248943178947625,10.595554440960656,65.45908749932073
delay,56.44183985614056,3.5857272270752714,4.4041211222104355,64.43168820542627
seat,45.14012444077512,6.813451459133456,10.982637987841432,62.93621388775
like,38.712267500626695,10.803380791524024,13.39595397703383,62.91160226918454
dm,18.68228025858498,8.480159032790333,34.915755296296595,62.07819458767191
guy,33.88556112818483,20.032235567554846,7.795671270339394,61.71346796607908
ca,49.5074313631165,5.256336056574884,6.193164758770576,60.95693217846196
bad,56.3822965054923,2.0575531171349293,2.229841203233972,60.6696908258612
flightled,51.79929282558836,1.3982628621338244,7.011596868164862,60.209152555887044
cancelled flightled,51.6322612819156,1.3999747291994185,7.0201810350485605,60.05241704616358
